iter	Passed	Remaining
0	217	434443
1	281	281625
2	345	229796
3	413	206281
4	490	195719
5	555	184563
6	623	177395
7	689	171599
8	758	167762
9	829	165156
10	916	165660
11	998	165348
12	1058	161806
13	1126	159860
14	1199	158776
15	1269	157423
16	1336	155863
17	1409	155190
18	1478	154105
19	1543	152852
20	1603	151104
21	1670	150234
22	1731	148846
23	1797	148001
24	1869	147670
25	1935	146947
26	1999	146107
27	2060	145096
28	2131	144900
29	2198	144371
30	2263	143796
31	2327	143111
32	2395	142774
33	2454	141931
34	2517	141351
35	2576	140563636	2649	140543737	2719	140414
38	2790	140333939	2847	139514040	2909	139014141	2965	138264242	3029	137854343	3085	137184444	3154	137034545	3216	136644646	3281	136354747	3346	136114848	3422	136264949	3489	136085050	3545	135505151	3610	135245252	3670	134825353	3712	133805454	3775	133528
55	3813	132372
56	3848	131185757	3903	130685858	3970	130635959	4017	129906060	4055	128926161	4096	128046262	4161	127946363	4219	127639
64	4288	127657
65	4361	127791
66	4458	128643
67	4527	128625
68	4582	128231
69	4626	127567
70	4690	127446
71	4726	126578
72	4782	126256
73	4824	125562
74	4872	125064
75	4924	124661
76	4973	124210
77	5012	123519
78	5059	123036
79	5105	122535
80	5153	122082
81	5191	121441
82	5237	120972
83	5282	120494
84	5319	119851
85	5366	119444
86	5413	119041
87	5459	118610
88	5495	117996
89	5531	117400
90	5571	116869
91	5616	116472
92	5659	116043
93	5697	115530
94	5750	115303
95	5805	115134
96	5842	114622
97	5882	114159
98	5932	113925
99	5974	113521
100	6011	113036
101	6054	1126610102	6097	1123010103	6144	1120110104	6188	1116910105	6229	1113010106	6274	1109910107	6317	1106710108	6365	1104210109	6401	1099911110	6440	1096011111	6481	1092611112	6520	1088911113	6570	1087011114	6617	1084711115	6666	1082611116	6704	1078911117	6753	1077111118	6799	1074111119	6841	1071112120	6876	1067112121	6920	1065112122	6963	1062112123	7011	1060112124	7051	1057112125	7100	1056112126	7136	1052112127	7183	1050112128	7227	10481129	7332	1054791130	7382	1053291131	7424	1050741132	7465	104799113133	7449	1037113134	7490	10341135	7600	1041661136	7651	1040551137	7694	1038151138	7739	1036191139	7783	1034091140	7826	1031921141	7872	1030091142	7910	1027251143	7947	1024391144	7993	1022571145	8038	1020761146	8087	1019471147	8121	101626114148	8104	10061149	8209	1012551150	8253	1010631151	8294	1008421152	8339	1006681153	8383	1004911154	8437	1004291155	8480	1002156156	8542	100157	157	8587	101158	158	8628	91159	159	8674	91160	8727	996881161	8777	995841162	8825	994621163	8865	992531164	8910	990931165	8954	989321166	9002	988121167	9059	987921168	9107	986721169	9159	985951170	9204	984551171	9248	982971172	9294	981551173	9349	981181174	9390	979321175	9438	978121176	9486	977071177	9537	976251178	9592	975821179	9637	974431180	9676	972501181	9722	971211182	9768	969891183	9814	968601184	9862	967601185	9917	967251186	186	9999	91187	187	10091	91188	188	10134	91189	10204	972131190	10260	971751191	10330	972741192	10379	971811193	10434	971391194	194	10503	9195	1195	10569	9196	10716	98076
197	10784	98147
198	10847	98171
199	10892	98033
200	10938	97905
201	10982	97759
202	11025	97595
203	11071	97475
204	11114	97323
205	11160	97197
206	11203	97041
207	11252	96942
208	11294	96785
209	11346	96716
210	11389	96564
211	11433	96429
212	11475	96273
213	11513	96088
214	1214	11559	9215	1215	11603	9216	1216	11650	9217	1217	11696	92218	218	11736	9219	1219	11789	9220	1220	11822	92221	221	11867	9222	1222	11906	9223	1223	11946	9224	1224	11990	9225	1225	12035	9226	1226	12076	9227	1227	12123	9228	1228	12165	9229	1229	12218	9230	1230	12268	9231	1231	12320	9232	12374	93843
233	12425	93774
234	12465	93620
235	12507	93489
236	12550	93358
237	12597	93264
238	12650	93212
239	12690	93066
240	12730	92914
241	12769	92760
242	12812	92637
243	12855	92520
244	12901	92420
245	12940	92269
246	12980	92125
247	13026	92028
